"codigo","color_por_confirmar","color_final","referencias"
"T1N","Terracota / Camello","","CABALLEROS::CHAQUETA ESCHER"
"T1P","Terracota / Camello","","CABALLEROS::CHALECO GUNDRU"
"T1W","Terracota / Camello","","CABALLEROS::CHAQUETA GRETE | MULTIUSOS::NICEA"
"T2I","Terracota / Camello","","DAMAS::CHAQUETA WHALY | CABALLEROS::CHAQUETA ARWIN | CABALLEROS::CHAQUETA PELIGRAM | MOCHILAS::BOLSO P TABLET KABEN | CARTUCHERAS Y LONCHERAS::KIJAL | MULTIUSOS::MALEBO | MULTIUSOS::BILLETERA REMORA | MULTIUSOS::BILLETERA MANRET"
"T2L","Terracota / Camello","","DAMAS::CHAQUETA ELMWOOD | CABALLEROS::CHAQUETA ARWIN | CABALLEROS::CHAQUETA GRETE | CABALLEROS::CHAQUETA LIADE"
"T2N","Terracota / Camello","","CABALLEROS::CHAQUETA ABIDE"
"T2O","Terracota / Camello","","CABALLEROS::CHAQUETA COLORMEN"
"T2Y","Terracota / Camello","","MULTIUSOS::COMIRA FAFFY"
"T2Z","Terracota / Camello","","DAMAS::CHAQUETA YECORA | DAMAS::CASACA KILLEN | MULTIUSOS::MACHACHI"
"T32","Terracota / Camello","","CARTUCHERAS Y LONCHERAS::GRUPY S E | CARTUCHERAS Y LONCHERAS::GRUPY"
"T3B","Terracota / Camello","","CABALLEROS::CHAQUETA MESCAL | CABALLEROS::CHAQUETA MULATO"
"T3D","Terracota / Camello","","CABALLEROS::CHALECO GUALLKY | CABALLEROS::CHAQUETA TICUL"
"T3E","Terracota / Camello","","MOCHILAS::MORRAL TOCAX | MOCHILAS::MORRAL TOQUITO"
"T3K","Terracota / Camello","","CABALLEROS::CHAQUETA MAZUNTE | CABALLEROS::CHAQUETA MULATO | CABALLEROS::CHALECO GORKY"
"T49","Terracota / Camello","","CABALLEROS::CHAQUETA COLORMEN | CARTUCHERAS Y LONCHERAS::PIDAL | CARTUCHERAS Y LONCHERAS::EAFIT | CARTUCHERAS Y LONCHERAS::ZURICH"
"T55","Terracota / Camello","","MOCHILAS::MORRAL PC GOCTAL | MOCHILAS::MORRAL RIBBON | MOCHILAS::MORRAL GOCTAL | MOCHILAS::MORRAL P TABLET Y PC GOCTAL | CARTUCHERAS Y LONCHERAS::PIDAL"
"T62","Terracota / Camello","","MOCHILAS::MORRAL MOLAVE | MOCHILAS::MORRAL PC DELEG | MOCHILAS::MORRAL P TABLET Y PC DELEG | CARTUCHERAS Y LONCHERAS::LUCANUS"
"T72","Terracota / Camello","","MOCHILAS::MORRAL TOQUITO"
"T84","Terracota / Camello","","DAMAS::CHAQUETA COLORFULL | CABALLEROS::CHAQUETA CUILCO | MULTIUSOS::RIOJA | MULTIUSOS::SARANDY"
"T88","Terracota / Camello","","DAMAS::CHAQUETA COLORFULL"
"TO4","Terracota / Camello","","MOCHILAS::MORRA CRAYOLA"
"TP0","Terracota / Camello","","MOCHILAS::MORRAL COLBERT"
"TSS","Terracota / Camello","","CARTUCHERAS Y LONCHERAS::PIDAL"
"TT0","Terracota / Camello","","MULTIUSOS::BATIAN"
"TZ0","Terracota / Camello","","MOCHILAS::MORRAL BADRA"
"V02","Verde","","LONCHERAS::MUTUALY CICLISMO"
"V06","Verde","","DAMAS::CHAQUETA BAYMENA | DAMAS::CHAQUETA YECORA | DAMAS::BUZO BASIROA | CABALLEROS::CHAQUETA TEKAM | CABALLEROS::CHAQUETA DENTON | CABALLEROS::CHALECO GUALLKY | MOCHILAS::MORRAL TURCO | MOCHILAS::MORRAL MALECON"
"V07","Verde","","CABALLEROS::CHAQUETA EXPEDIT | CABALLEROS::CHAQUETA DARREN | CABALLEROS::CHAQUETA SENDANY | CABALLEROS::CHAQUETA ABIDE | CABALLEROS::CHAQUETA PELIGRAM | CABALLEROS::CHAQUETA HEBI | MOCHILAS::MORRAL PC ORBETELLO | MOCHILAS::MORRAL CALT"
"V09","Verde","","MOCHILAS::MORRAL DINAMICON"
"V0O","Verde","","MULTIUSOS::BILLETERA HALVO"
"V0R","Verde","","LONCHERAS::DERVY | MOCHILAS::MORRAL MIT | MOCHILAS::MORRAL GAMMATTO | CARTUCHERAS Y LONCHERAS::BLINTON | CARTUCHERAS Y LONCHERAS::GALVITTO"
"V1H","Verde","","DAMAS::CHAQUETA COLORFULL | DAMAS::BUZO NINA SHINKU"
"V35","Verde","","MOCHILAS::MORRAL GAZANIA"
"V3I","Verde","","MALETAS::MALETA LACERTA"
"V3S","Verde","","LONCHERAS::TAKOMA"
"V3X","Verde","","CABALLEROS::CHAQUETA COLORMEN"
"V4D","Verde","","MULTIUSOS::JAVARI"
"V4H","Verde","","CARTUCHERAS Y LONCHERAS::FELINA"
"V4I","Verde","","MOCHILAS::MORRAL P TABLET Y PC FERNANDINA | CARTUCHERAS Y LONCHERAS::INBABURA | CARTUCHERAS Y LONCHERAS::KANNALY | MULTIUSOS::SHOPPING PALORA | MULTIUSOS::IMBABURA"
"V4J","Verde","","DAMAS::CHAQUETA COLORFULL | DAMAS::CHAQUETA TRINITARIA"
"V99","Verde","","MOCHILAS::MORRAL GOCTAL"
"VG0","Verde","","CARTUCHERAS Y LONCHERAS::NEUQUEN"
"VN0","Verde","","MOCHILAS::MORRAL KAINE"
"VT0","Verde","","MOCHILAS::MORRAL VETUS"
"XA3","","","MOCHILAS::MORRAL BARIJAT"
"XG1","","","DAMAS::CHALECO KUNST"
"XL","","","DAMAS::CHAQUETA HABANERA | DAMAS::CHAQUETA BAROYECA | DAMAS::CHAQUETA ELMWOOD | DAMAS::CHAQUETA WORKYM | DAMAS::CHAQUETA REFLEXTIVE WOMAN | DAMAS::BUZO GUAJILLO | DAMAS::CHAQUETA BAYMENA | DAMAS::CHAQUETA COLORFULL"
"XS","","","DAMAS::CHAQUETA HABANERA | DAMAS::CHAQUETA BAROYECA | DAMAS::BUZO UNISUN | DAMAS::CHAQUETA ELMWOOD | DAMAS::CHAQUETA WORKYM | DAMAS::CHAQUETA WHALY | DAMAS::BUZO GUAJILLO | DAMAS::CHAQUETA COLORFULL"
"XV0","","","MOCHILAS::MORRAL BARIJAT"
"XXL","","","DAMAS::CHAQUETA WORKYM | DAMAS::CHAQUETA REFLEXTIVE WOMAN | DAMAS::CHAQUETA COLORFULL | DAMAS::CHAQUETA YECORA | DAMAS::CHAQUETA ACRONY | DAMAS::CHAQUETA TRINITARIA | DAMAS::CHAQUETA TAPALPA | CABALLEROS::CHAQUETA DEGALLY"
"Y6","","","MULTIUSOS::SARANDY"
"Z02","Azul","","DAMAS::CHAQUETA WORKYM | DAMAS::BUZO TEXCOCO | MOCHILAS::MORRAL P TABLET AMASYA"
"Z04","Azul","","LONCHERAS::BORRADOR | LONCHERAS::DERVY | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::P TABLET Y PC Y CAMBRI | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL CRAYOLA | MOCHILAS::CARTERA AZUL S E"
"Z05","Azul","","MOCHILAS::MORRAL CRAYOLA | CARTUCHERAS Y LONCHERAS::SOBRE"
"Z06","Azul","","CABALLEROS::CHAQUETA LIESA | CABALLEROS::CHAQUETA COLORMEN | MOCHILAS::MORRAL AKUARY | MOCHILAS::MORRAL CRAYOLA | CARTUCHERAS Y LONCHERAS::GALVITTO"
"Z11","Azul","","LONCHERAS::ESTORIL | LONCHERAS::SILOAM | MOCHILAS::MORRAL TOCAX | MOCHILAS::MORRAL TOQUITO | MOCHILAS::BOLSO OLERON | CARTUCHERAS Y LONCHERAS::DIJON | CARTUCHERAS Y LONCHERAS::EAFIT | CARTUCHERAS Y LONCHERAS::ZURICH"
"Z1S","Azul","","MOCHILAS::MORRAL DYNAMIC | MULTIUSOS::CIELITO"
"Z21","Azul","","DAMAS::BUZO MATAPE | DAMAS::CHAQUETA CAPOLLY | CABALLEROS::CHAQUETA WILLNA | MULTIUSOS::LUNARITY"
"Z24","Azul","","MOCHILAS::MORRAL TAMULO"
"Z2K","Azul","","MOCHILAS::MORRAL RIBBON | CARTUCHERAS Y LONCHERAS::PIDAL"
"Z31","Azul","","CARTUCHERAS Y LONCHERAS::MULTIUSO MAIRANA | MULTIUSOS::MAIRANA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER"
"Z32","Azul","","LONCHERAS::AUBURN | MOCHILAS::MORRAL PROCION | MOCHILAS::MORRAL DEILY | MOCHILAS::MORRAL RUCKS | MOCHILAS::MORRAL CERVUS | MOCHILAS::MORRAL PC COMPLEMENT | MOCHILAS::MORRAL GAMMATTO | MOCHILAS::MORRAL DELY"
"Z34","Azul","","MOCHILAS::MORRAL ALCOR | MOCHILAS::MORRAL COMPLIMET"
"Z3I","Azul","","CABALLEROS::CHAQUETA VERNOS | CABALLEROS::CHAQUETA HILLSBORO | MOCHILAS::MORRAL BUNKER PACK 3 0 | MOCHILAS::MORRAL DINAMICON | MULTIUSOS::FLOREANA | MULTIUSOS::SHOPPING PALORA | MULTIUSOS::SHOPPING HOLA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER"
"Z3K","Azul","","MOCHILAS::MORRAL PC CERASITIO | MOCHILAS::MORRAL RIBBON | MOCHILAS::MORRAL CORASTIO | MOCHILAS::MORRAL P TABLET Y PC CERASTIO"
"Z3W","Azul","","DAMAS::CHAQUETA ELMWOOD | CABALLEROS::CHAQUETA EXPEDIT | CABALLEROS::CHAQUETA LIADE | CABALLEROS::CHAQUETA WANDER | CABALLEROS::CHAQUETA GRETE | CABALLEROS::CHALECO MALTE | CABALLEROS::CHALECO GUNDRU | CABALLEROS::CHAQUETA UNIJA"
"Z3Y","Azul","","DAMAS::CHAQUETA HARUKI | CABALLEROS::CHAQUETA COLORMEN | MOCHILAS::MORRAL ALCOR | MOCHILAS::MORRAL CIMARRON | MOCHILAS::MORRAL P TABLET Y PC MISISIPI | MOCHILAS::MORRAL PRINSTON | MOCHILAS::MORRAL P TABLET Y PC CAMBRI | MOCHILAS::MORRAL CALT"
"Z45","Azul","","MULTIUSOS::TACHES"
"Z4Q","Azul","","DAMAS::CHAQUETA WHALY"
"Z52","Azul","","CARTUCHERAS Y LONCHERAS::EAFIT"
"Z5I","Azul","","MOCHILAS::MORRAL GAMMATTO"
"Z5L","Azul","","CABALLEROS::CHAQUETA TEKAM | MOCHILAS::MORRAL ROBORE | MOCHILAS::MORRAL SANTAY"
"Z5V","Azul","","MOCHILAS::MORRAL CIRUELO"
"Z5X","Azul","","MOCHILAS::MORRAL TOQUITO"
"Z60","Azul","","CABALLEROS::CHAQUETA MESCAL"
"Z6C","Azul","","DAMAS::BUZO NINA NANAE"
"Z6O","Azul","","DAMAS::CHAQUETA YECORA | DAMAS::CASACA KILLEN | CABALLEROS::CHAQUETA ISAAC | CABALLEROS::CHAQUETA CUILCO | CABALLEROS::CHAQUETA MAZUNTE | CABALLEROS::CHAQUETA MULATO | CABALLEROS::CHAQUETA COLORMEN | CABALLEROS::CHAQUETA DENTON"
"Z6V","Azul","","DAMAS::BUZO UNISUN"
"Z73","Azul","","MOCHILAS::MORRAL TOCAX | MOCHILAS::MORRAL BRUNEUS | MOCHILAS::MORRAL TOQUITO | MOCHILAS::MORRAL CICIDELA | CARTUCHERAS Y LONCHERAS::KIJAL"
"Z76","Azul","","CABALLEROS::CHAQUETA TEKAM | MOCHILAS::MORRAL TURCO | CARTUCHERAS Y LONCHERAS::EAFIT"
"Z78","Azul","","CABALLEROS::CHALECO LOITER"
"Z88","Azul","","CABALLEROS::CHAQUETA MESCAL | CABALLEROS::CHAQUETA COLORMEN | MOCHILAS::MORRAL MOLAVE"
"ZG0","Azul","","MOCHI- VIAJERO::NANDA 50LT"
"ZIR","Azul","","CARTUCHERAS Y LONCHERAS::TABLERO"
"ZM0","Azul","","MOCHILAS::MORRAL URDANETA MORADA"
"ZMO","Azul","","MOCHILAS::MORRAL URDANETA"
"ZN0","Azul","","MOCHILAS::MORRAL KAINE | MULTIUSOS::KOALA PARA BILLETERA"
"ZZ0","Azul","","MALETAS::MALETA TULA RUEDAS PARKAR"
"ZZ1","Azul","","MALETAS::MALETA TULA RUEDAS PARKAR"
